|  # | 종목          |     티커 |          현재가 |
| -: | ----------- | -----: | -----------: |
|  1 | 삼성전자        | 005930 |     266,000원 |
|  2 | SK하이닉스      | 000660 | 약 1,653,000원 |
|  3 | LG에너지솔루션    | 373220 |     370,500원 |
|  4 | 현대차         | 005380 |     398,000원 |
|  5 | 삼성전기        | 009150 |   1,421,000원 |
|  6 | 삼성바이오로직스    | 207940 |   1,486,000원 |
|  7 | LG전자        | 066570 |     201,500원 |
|  8 | 셀트리온        | 068270 |     190,700원 |
|  9 | HD현대일렉트릭    | 267260 |     814,000원 |
| 10 | 두산에너빌리티     | 034020 |      88,200원 |
| 11 | LS ELECTRIC | 010120 |     214,500원 |
| 12 | LG생활건강      | 051900 |     318,000원 |
| 13 | LG이노텍       | 011070 |     611,000원 |
| 14 | 미래에셋증권      | 006800 |      36,150원 |
| 15 | GS리테일       | 007070 |      26,650원 |
| 16 | CJ          | 001040 |     130,500원 |
| 17 | 원익홀딩스       | 030530 |      19,080원 |
| 18 | 가온전선        | 000500 |     204,000원 |
| 19 | 원익IPS       | 240810 |     111,100원 |
| 20 | 한국항공우주      | 047810 |     133,100원 |
| 21 | 고영          | 098460 |      28,700원 |
| 22 | NHN         | 181710 |      69,700원 |
| 23 | 티엘비         | 356860 |      39,600원 |
| 24 | 두산테스나       | 131970 |      81,700원 |
| 25 | 한미반도체       | 042700 |   **실시간 변동** |
|  # | 회사                    | 티커        |     8/28 종가 |
| -: | --------------------- | --------- | ----------: |
|  1 | Apple                 | **AAPL**  | **$319.70** |
|  2 | Microsoft             | **MSFT**  | **$513.53** |
|  3 | NVIDIA                | **NVDA**  | **$217.55** |
|  4 | Amazon                | **AMZN**  | **$266.43** |
|  5 | Alphabet A            | **GOOGL** | **$346.59** |
|  6 | Alphabet C            | **GOOG**  | **$342.88** |
|  7 | Meta Platforms        | **META**  | **$578.02** |
|  8 | Tesla                 | **TSLA**  | **$348.75** |
|  9 | Broadcom              | **AVGO**  | **$368.79** |
| 10 | AMD                   | **AMD**   | **$465.58** |
| 11 | Netflix               | **NFLX**  |  **$81.72** |
| 12 | Costco                | **COST**  | **$945.47** |
| 13 | JPMorgan Chase        | **JPM**   | **$357.62** |
| 14 | Visa                  | **V**     | **$381.60** |
| 15 | Home Depot            | **HD**    | **$330.19** |
| 16 | Coca-Cola             | **KO**    |  **$89.66** |
| 17 | Procter & Gamble      | **PG**    | **$143.78** |
| 18 | Walmart               | **WMT**   | **$103.09** |
| 19 | Salesforce            | **CRM**   | **$256.00** |
| 20 | Palantir Technologies | **PLTR**  | **$186.29** |
| 21 | Qualcomm              | **QCOM**  | **$164.19** |
| 22 | Intel                 | **INTC**  |  **$89.47** |
| 23 | Citigroup             | **C**     | **$132.90** |
| 24 | Vistra                | **VST**   | **$137.09** |
| 25 | Genuine Parts         | **GPC**   | **$137.51** |
